tmpl;count
"къызэры*р";"30742"
"къ*тэкъым";"23526"
"*ыртэкъым";"19697"
"къызэры*м";"18912"
"*нутэкъым";"16931"
"*эртэкъым";"14069"
"къызэ*нур";"11466"
"къызэры*э";"10422"
"къы*акъым";"10038"
"къызэрыз*";"9623"
"къызэрыт*";"9551"
"къызэры*и";"8774"
"къы*ркъым";"8726"
"къы*укъым";"8143"
"зэры*ынур";"7936"
"*жынукъым";"7833"
"къ*ыркъым";"7742"
"*фынукъым";"7722"
"къызэрыд*";"6940"
"къыт*къым";"6826"
"къызэрыс*";"6802"
"къып*къым";"6363"
"къыс*къым";"6332"
"къызэрып*";"6327"
"къызэ*кIэ";"6170"
"къызэры*у";"5590"
"къэзыгъэ*";"5489"
"къ*эркъым";"5394"
"къыщы*кIэ";"5181"
"зэры*мкIэ";"5047"
"*ыжыркъым";"4991"
"къыз*къым";"4894"
"къызэщIэ*";"4818"
"*эжыркъым";"4675"
"къызэры*щ";"4617"
"сыкъ*къым";"4570"
"с*ынукъым";"4474"
"къызэ*ауэ";"4354"
"къыкIэлъ*";"4320"
"укъызэры*";"4256"
"ху*тэкъым";"4224"
"къызэри*р";"4208"
"зэры*энур";"4105"
"сы*тэкъым";"4087"
"къазэры*р";"3985"
"*ынтэкъым";"3974"
"зэ*тэкъым";"3959"
"*ртэкъыми";"3921"
"къы*амкIэ";"3787"
"къыщIэкI*";"3734"
"сы*нукъым";"3717"
"литерату*";"3656"
"*энтэкъым";"3644"
"*Iэнукъым";"3597"
"*кIыркъым";"3591"
"къызэфIэ*";"3486"
"къызэ*ари";"3457"
"*тIысхьащ";"3435"
"къызэ*нум";"3426"
"къызэри*м";"3353"
"у*ынукъым";"3324"
"*Iатэкъым";"3165"
"*акIуэхэм";"3131"
"зыхуигъэ*";"3108"
"къы*хьауэ";"3026"
"зэрыбгъэ*";"3010"
"игъэ*къым";"2962"
"къызэрыб*";"2923"
"зэрызэ*ар";"2866"
"къы*ынкIэ";"2844"
"дызэрызэ*";"2767"
"пху*укъым";"2731"
"*гъэкIыну";"2724"
"къы*кIауэ";"2705"
"къызэ*эри";"2671"
"*эшхуэхэр";"2641"
"къыщигъэ*";"2561"
"къыIэщIэ*";"2555"
"зэкIуэцI*";"2551"
"къызэщIи*";"2515"
"зэры*ынум";"2509"
"*хьэркъым";"2503"
"къызбгъэ*";"2470"
"къызэра*р";"2457"
"къыщыщIэ*";"2444"
"*экIакъым";"2442"
"и*ртэкъым";"2431"
"къыщIы*ар";"2426"
"къы*хьэри";"2417"
"къы*ыжыну";"2395"
"щIэныгъэ*";"2395"
"я*ртэкъым";"2391"
"къы*энкIэ";"2387"
"*акIуэхэр";"2382"
"къызэ*ыну";"2381"
"*ыфыркъым";"2380"
"къы*экIыу";"2376"
"зэры*ыным";"2367"
"къа*акъым";"2362"
"къызэре*р";"2356"
"зэры*эным";"2353"
"къы*кIыну";"2352"
"щы*тэкъым";"2340"
"*жатэкъым";"2338"
"къы*эжауэ";"2337"
"къимыгъэ*";"2284"
"къыжьэдэ*";"2281"
"зэрыхуэ*р";"2250"
"*лъэгъуар";"2245"
"*лъагъуну";"2230"
"къы*эжыну";"2202"
"пхуэ*къым";"2171"
"ды*тэкъым";"2165"
"п*ынукъым";"2155"
"сыкъигъэ*";"2100"
"*атэкъыми";"2097"
"зэры*энум";"2091"
"зэрызэ*ым";"2085"
"къы*ымкIэ";"2083"
"у*энукъым";"2079"
"сыкъыщIэ*";"2077"
"лэжьакIу*";"2058"
"къыщIыхь*";"2041"
"*лъэгъуащ";"2024"
"къыщы*ауэ";"2013"
"къызэ*урэ";"2012"
"къ*кIыурэ";"1997"
"къысхуэ*э";"1988"
"къызгуры*";"1978"
"зэкIэлъы*";"1950"
"къа*ркъым";"1945"
"зэбгъэдэ*";"1944"
"къыщызэ*м";"1929"
"сызэры*ур";"1929"
"зэрыщымы*";"1920"
"къулыкъу*";"1918"
"къысхуэ*у";"1910"
"*эшхуэхэм";"1909"
"къыщIэмы*";"1905"
"схуэ*къым";"1903"
"къы*хьэну";"1903"
"зэрызэхэ*";"1899"
"тепсэлъы*";"1897"
"зэрызэфI*";"1892"
"къысхуэп*";"1892"
"зэрызэ*ам";"1891"
"схузэфIэ*";"1870"
"къызэ*эрэ";"1859"
"къигъэщI*";"1846"
"къ*энкъым";"1841"
"бгъэдыхь*";"1837"
"иригъэ*ащ";"1821"
"*гъэхьэну";"1812"
"лэжьыгъэ*";"1806"
"*тIысхьэу";"1805"
"къы*экIащ";"1804"
"къыщагъэ*";"1795"
"яхуэ*къым";"1790"
"сызэрыщы*";"1790"
"къыхуэмы*";"1785"
"къыкIэры*";"1781"
"къигъэ*ащ";"1780"
"къысху*ащ";"1780"
"къыбгуры*";"1780"
"къызэры*а";"1767"
"къызэри*и";"1753"
"гущIэгъу*";"1746"
"къыщI*ауэ";"1745"
"*щIыркъым";"1741"
"зэригъэ*р";"1734"
"къаIэщIэ*";"1703"
"*кIынкъым";"1698"
"зэрыхуэ*м";"1697"
"къыщIэ*ащ";"1684"
"*лъагъумэ";"1683"
"*ыжынкъым";"1679"
"*эжынкъым";"1668"
"сы*ыркъым";"1667"
"яхузэфIэ*";"1665"
"къыщы*хэм";"1660"
"сызэры*ар";"1655"
"зэрызэ*ыр";"1653"
"къыпхуэ*у";"1652"
"къакIэлъ*";"1650"
"дызэ*къым";"1634"
"*лъагъури";"1634"
"зэрызэ*эр";"1627"
"къы*кIырт";"1626"
"къытехьэ*";"1626"
"къызэ*ами";"1610"
"хъыджэбз*";"1605"
"къызэ*арщ";"1603"
"къы*лъхьэ";"1603"
"*плъыхьри";"1597"
"къызэри*у";"1590"
"зэгурыIу*";"1590"
"*лъхьэжащ";"1584"
"зытригъэ*";"1583"
"къы*щIауэ";"1583"
"къыщI*эри";"1581"
"къы*ыкIыу";"1573"
"къыщIэ*ри";"1570"
"*лъагъуэу";"1570"
"зэщхьэщы*";"1563"
"къигъэкI*";"1563"
"сызэры*эр";"1561"
"*гъэщIэну";"1557"
"щI*тэкъым";"1547"
"ды*нукъым";"1546"
"хьэлэмэт*";"1541"
"лъэныкъу*";"1536"
"къри*къым";"1532"
"къызэрыф*";"1527"
"къызыкъу*";"1526"
"*ыгъэшхуэ";"1524"
"къы*ыкIащ";"1520"
"къыщыхъу*";"1500"
"къыхигъэ*";"1494"
"къызэ*ащи";"1493"
"нэхъыжьы*";"1486"
"*гъэхэмрэ";"1483"
"сыкъы*ауэ";"1482"
"къигъэлъ*";"1478"
"къы*экIар";"1476"
"къызэ*хэм";"1473"
"*Iуэркъым";"1473"
"зэрыщызэ*";"1472"
"зэрызгъэ*";"1472"
"зыкъигъэ*";"1469"
"зыхуагъэ*";"1463"
"*хынукъым";"1463"
"къыпхуэ*щ";"1449"
"къызэ*ырт";"1446"
"*лъэгъуам";"1444"
"къытхуэ*э";"1441"
"къи*акъым";"1441"
"къы*атэмэ";"1439"
"къызэплъ*";"1436"
"зэрыкIуэ*";"1432"
"ягъэ*къым";"1419"
"иримыгъэ*";"1416"
"*щIэркъым";"1410"
"къызыхуэ*";"1409"
