tmpl;count
"къызэры*амкIэ";"2171"
"къы*ынутэкъым";"1395"
"*гъэтIысхьэри";"1330"
"къызэры*жынур";"1279"
"къы*энутэкъым";"1057"
"къыкIэлъыкIу*";"980"
"ехъулIэныгъэ*";"958"
"*экIынутэкъым";"869"
"къызэригъэлъ*";"838"
"къыхуэ*тэкъым";"832"
"къыпхуэ*укъым";"827"
"IэкIуэлъакIу*";"824"
"*гъэлъэгъуэну";"821"
"къызэрыщIэкI*";"785"
"къызэрагъэпэ*";"745"
"иригъэтIысхь*";"730"
"къигъэлъэгъу*";"718"
"къызэрыригъэ*";"707"
"къебгъэрыкIу*";"706"
"дытепсэлъыхь*";"696"
"*гъэхьэзырауэ";"696"
"*эжыфыртэкъым";"693"
"*гъэкIынукъым";"670"
"къы*кIынукъым";"650"
"къэгъэлъэгъу*";"649"
"къигъэ*тэкъым";"648"
"къызэрыхуимы*";"634"
"закъуэтIакъу*";"609"
"хэлъхьэныгъэ*";"601"
"къыщIэзгъэхь*";"600"
"*гъэлъэгъуауэ";"591"
"къызэригъэпэ*";"590"
"*гъэщIэгъуэну";"579"
"*гъэхьэнукъым";"573"
"Iуэхутхьэбзэ*";"536"
"*мыгъэлъагъуу";"527"
"IэпщIэлъапщI*";"516"
"*гъэлъагъуэмэ";"492"
"*агъуэртэкъым";"489"
"зытепсэлъыхь*";"489"
"*гъуэгурыкIуэ";"488"
"къызэрырагъэ*";"480"
"къызэзыгъэпэ*";"480"
"*хьэжыртэкъым";"480"
"*лъагъунукъым";"474"
"къызэрыщIыхь*";"466"
"къызэрыгуэкI*";"464"
"сытепсэлъыхь*";"459"
"къэхутэныгъэ*";"440"
"IэдакъэщIэкI*";"438"
"иригъэкIуэкI*";"437"
"зэрыбгъэдыхь*";"436"
"бгъэдэтIысхь*";"430"
"ирагъэтIысхь*";"422"
"къыщагъэсэбэ*";"412"
"къэдгъэсэбэп*";"407"
"къызэрыгъуэт*";"402"
"къылъыкъуэкI*";"399"
"*щIыхьэнукъым";"398"
"къызбгъэдыхь*";"397"
"къы*мыгъэкIыу";"392"
"зэпыщIэныгъэ*";"387"
"къыжьэдэ*къым";"387"
"къыхуи*тэкъым";"384"
"*лъагъуэркъым";"379"
"сыхущIегъуэж*";"370"
"иригъэлъагъу*";"363"
"уэзгъэлъагъу*";"361"
"къызэрехьэжь*";"337"
"щытепсэлъыхь*";"333"
"зэригъэзэхуэ*";"332"
"зэгухьэныгъэ*";"331"
"къызэрымыкIу*";"330"
"къызэриIуэтэ*";"326"
"ныкъусаныгъэ*";"318"
"къагъэлъэгъу*";"309"
"къызэригъэ*ам";"307"
"*тепсэлъыхьын";"307"
"*гъэхьэзырырт";"306"
"фIэщхъуныгъэ*";"303"
"*гъакIуэркъым";"296"
"къэщIэрэщIэж*";"279"
"къызэры*хъуар";"274"
"къызэмыхъулI*";"272"
"къысхуиIуэтэ*";"270"
"къызэры*кIуэр";"256"
"къызэригъуэт*";"252"
"къысхуэгъуэт*";"247"
"къыдэIэпыкъу*";"244"
"зыхуигъэувыж*";"242"
"зэбгъэдэкIыж*";"242"
"тепсэлъыхьыж*";"241"
"къыбгурыIуэн*";"239"
"анэдэлъхубзэ*";"236"
"насыпыншагъэ*";"230"
"къызэрыщыхъу*";"222"
"Iуащхьэмахуэ*";"202"
"ирагъэлъагъу*";"187"
"*дэIэпыкъуурэ";"180"
"зыщигъэпщкIу*";"124"
